iin_start,country,bank_name,bank_url,bank_city
412039,US,USAA,,
412042,US,CITIZENS BANK OF LAS CRUCES,,
412061,US,MERRICK,,
412134,US,PSECU,,
412141,US,WSFS,,
412174,US,CAPITAL ONE BANK,,
412177,BR,PORTO SEGURO,,
412185,US,USAA,,
412187,BR,BANCO DE BRASILIA,,
412345,TR,,,
412451,US,CHASE,,
412453,US,CHASE,,
412541,PL,CITIBANK,,
412570,GE,Liberty Bank JSC,www.libertybank.ge,Tbilisi
412712,US,CENTRAL NATIONAL BANK,,
412752,ZA,FIRST NATIONAL,,
412757,US,"ARMED FORCES BANK, NATIONAL ASSOCIATION",,
412775,US,AMERICAN,,
412781,US,UMB BANK N.A.,,
412800,US,CITI,,
412983,GB,MBNA,,
413022,US,HUDSON VALLEY FEDERAL CREDIT UNION,,
413252,TR,AKBANK,,
413332,AU,POLICE,,
413348,AU,,,
413366,US,GLACIER,,
413388,ES,EVO BANCO,,
413491,US,APPLE,,
413498,US,WEPCO FEDERAL CREDIT UNION,,
413571,US,BANK OF AMERICA,,
413572,US,BANK OF AMERICA,,
413574,US,BANK OF AMERICA,,
413577,US,BANK OF AMERICA,,
413602,US,DELTA COMMUNITY CREDIT UNION,,
413718,ID,MANDIRI,,
413753,US,,,
413757,US,MVBBANK,,
413900,US,IFCU,,
413966,US,COMMSTAR CREDIT UNION,,
414049,RO,BANCA TRANSILVANIA,,
414170,MY,,,
414221,US,COMPLEX COMMUNITY FEDERAL CREDIT UNION,,
414314,US,FIRST UNITED,,
414382,US,,,
414434,US,FIRST STATE BANK OF COLORADO,,
414446,US,LONE STAR NATIONAL,,
414449,US,FIRST BRISTOL FEDERAL CREDIT UNION,,
414580,US,AMERICAN SAVINGS,,
414707,US,BANK OF AMERICA,,
414709,US,CAPITAL ONE BANK,,
414711,US,CITI,,
414718,US,WELLS FARGO,,
414720,US,CHASE,,
414721,US,NORDSTROM,,
414726,AU,CITIBANK,,
414729,US,CITI,,
414730,US,WELLS FARGO,,
414734,US,BANK OF AMERICA,,
414737,US,BANK OF AMERICA,,
414740,US,CHASE,,
414750,US,MERRILL LYNCH,,
414773,US,BANK OF AMERICA,,
414776,US,U.S. BANK N.A. ND,,
414778,US,USBANK,,
414781,US,USBANK,,
414912,DE,FRANKFURTER SPARKASSE,,
414930,US,TECHE FEDERAL,,
414949,UA,PRIVATBANK,,
415001,ES,CAJAMAR,,
415006,ES,CAJAMAR,,
415079,BH,AHLI UNITED BANK (BAHRAIN) B.S.C.,,
415231,MX,BBVA BANCOMER,,
415274,BR,PORTO SEGURO,,
415275,BR,PORTO SEGURO,,
415342,US,REDWOOD CREDIT UNION,,
415359,US,BANK OF ST. FRANCISVILLE,,
415417,US,CAPITAL ONE,,
415500,GR,,,
415557,US,CAPITAL ONE BANK,,
415560,US,NEW YORK COMMUNITY,,
415594,US,TLC FEDERAL CREDIT UNION,,
415710,US,HOUSTON FEDERAL CREDIT UNION,,
415711,US,COLLINS CREDIT UNION,,
415726,US,AMEGY,,
415786,US,AMOCO FEDERAL CREDIT UNION,,
415793,US,RESOURCE BANK N.A.,,
415853,US,PNCBANK,,
415874,US,TD BANKNORTH,,
415894,US,CARLSBAD NATIONAL,,
415932,DE,CORTAL CONSORS,,
415956,TR,FINANSBANK,,
415967,US,THE CITIZENS BANK,,
415974,DE,DEUTSCHE APOTHEKER-UND AERZTEBANK EG,,
415975,US,BB&T,,
415977,US,BB&T,,
415982,US,MUNICIPAL CREDIT UNION,,
416047,US,WHATCOM EDUCATIONAL CREDIT UNION,,
416081,ES,LA CAIXA,,
416085,US,RABOBANK,,
416422,US,KINECTA FEDERAL CREDIT UNION,,
416502,MX,HSBC,,
416511,PH,,,
416818,US,CITI,,
416832,US,ARIZONA FEDERAL CREDIT UNION,,
416838,US,FIRST NATIONAL BANK,,
416844,US,MID-HUDSON VALLEY FEDERAL CREDIT UNION,,
416916,MX,BANCOPPEL,,
416917,KE,,,
417008,US,BANK OF AMERICA,,
417094,US,MTBANK,,
417480,ES,INGDIRECT,,
417849,MX,LIVERPOOL,,
417968,MX,BANREGIO,,
418080,MX,BANCOMER,,
